Purple Book Monthly Historical Data Changes Report - November 2025,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Newly Approved Products (N)  / Products Added in Current Release (R) / Updated Products (U),,,,,,,,,,,,,,,,,,,,,,,,
,Ferring Pharmaceuticals Inc.,19774,Zomacton,somatropin,351(a),10MG,For Injection,Subcutaneous,Multi-Dose Vial,Rx,Licensed,7-Mar-12,N/A,N/A,25,Supplement,2112,3,CDER,,,,,
,"Leadiant Biosciences, Inc",19818,Adagen,pegademase bovine,351(a),375UNITS/1.5ML (250UNITS/ML),Injection ,Intramuscular,Single-Dose Vial,Disc,Licensed,21-Mar-90,N/A,N/A,,Original,2073,1,CDER,,,,,21-Mar-97
,Novo Nordisk Inc.,19938,Novolin R,insulin human,351(a),"1,000UNITS/10ML (100UNITS/ML)",Injection ,Subcutaneous,Multi-Dose Vial,OTC,Licensed,25-Jun-91,N/A,N/A,,Original,1261,1,CDER,,,,,
,Novo Nordisk Inc.,19938,Novolin R,insulin human,351(a),300UNITS/3ML (100UNITS/ML),Injection ,Subcutaneous,Autoinjector,OTC,Licensed,1-Jun-18,N/A,N/A,76,Supplement,1261,2,CDER,,,,,
,Novo Nordisk Inc.,19959,Novolin N,insulin isophane human,351(a),"1,000UNITS/10ML (100UNITS/ML)",Injectable Suspension,Subcutaneous,Multi-Dose Vial,OTC,Licensed,1-Jul-91,N/A,N/A,,Original,1261,1,CDER,,,,,
,Novo Nordisk Inc.,19959,Novolin N,insulin isophane human,351(a),300UNITS/3ML (100UNITS/ML),Injectable Suspension,Subcutaneous,Autoinjector,OTC,Licensed,1-Jul-91,N/A,N/A,,Original,1261,2,CDER,,,,,
,Novo Nordisk Inc.,19991,Novolin 70/30,insulin isophane human and insulin human,351(a),300UNITS/10ML (30UNITS/ML); 700UNITS/10ML (70UNITS/ML),Injection ,Subcutaneous,Multi-Dose Vial,OTC,Licensed,25-Jun-91,N/A,N/A,,Original,1261,1,CDER,,,,,
,Novo Nordisk Inc.,19991,Novolin 70/30,insulin isophane human and insulin human,351(a),90UNITS/3ML (30UNITS/ML); 210UNITS/3ML (70UNITS/ML),Injection ,Subcutaneous,Autoinjector,OTC,Licensed,1-Jun-18,N/A,N/A,79,Supplement,1261,2,CDER,,,,,
,AbbVie Inc.,20032,Survanta,beractant,351(a),100MG/4ML (25MG/ML),Suspension,Intratracheal,Single-Dose Vial,Rx,Licensed,1-Jul-91,N/A,N/A,,Original,1889,1,CDER,,,,,2-Jul-98
,AbbVie Inc.,20032,Survanta,beractant,351(a), 200MG/8ML (25MG/ML),Suspension,Intratracheal,Single-Dose Vial,Rx,Licensed,1-Jul-91,N/A,N/A,,Original,1889,2,CDER,,,,,2-Jul-98
,Ferring Pharmaceuticals Inc.,20162,Acthrel,corticorelin ovine triflutate,351(a),100MCG,For Injection,Intravenous,Single-Dose Vial,Disc,Licensed,23-May-96,N/A,N/A,,Original,2112,1,CDER,,,,,23-May-03
,"Genentech, Inc.",20168,Nutropin,somatropin,351(a),5MG,For Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,17-Nov-93,N/A,N/A,,Original,1048,1,CDER,,,,,30-Dec-03
,"Genentech, Inc.",20168,Nutropin,somatropin,351(a),10MG,For Injection,Subcutaneous,Multi-Dose Vial,Disc,Voluntarily Revoked,17-Nov-93,N/A,N/A,,Original,1048,2,CDER,,,,,30-Dec-03
,Pharmacia & Upjohn Company LLC,20280,Genotropin,somatropin,351(a),1.5MG,For Injection,Subcutaneous,Pre-Filled Syringe,Disc,Licensed,24-Aug-95,N/A,N/A,,Original,1216,1,CDER,,,,,25-Jul-08
,Pharmacia & Upjohn Company LLC,20280,Genotropin,somatropin,351(a),5MG,For Injection,Subcutaneous,Multi-Dose Cartridge,Rx,Licensed,24-Aug-95,N/A,N/A,,Original,1216,2,CDER,,,,,25-Jul-08
