. z..6.benzylidene.3.hydroxymethyl.1.4.dimethyl.3.methylsulfanylpiperazine.2.5.dione
....8.hydroxy.11e.17.octadecadien.9.ynoic acid
....8.hydroxyjasmonic acid
....9.10.dihydrojasmonic acid
....9.hydroxyhexylitaconic acid
....abscisic acid
....abscisic aldehyde
....acanthoic acid
....acetodalmanol a
....acetodalmanol b
....acrozine a
....acrozine b
....acrozine c
....alstolucine c
....alstolucine e
....alstolucine f
....alternarilactone a
....annularin c
....applanatumol d
....applanatumol e
....applanatumol f
....applanatumol g
....applanatumol h
....applanatumol i
....applanatumol k
....applanatumol l
....applanatumol m
....applanatumol n
....applanatumol o
....applanatumol p
....applanatumol q
....applanatumol r
....applanatumol u
....applanatumol v
....applanatumol w
....applanatumol x
....applanatumol y
....applanatumol z
....applanatumol z2
....applanatumol z5
....asbestinine 2
....ascomlactone a
....aspamide d
....asperginulin a
....asperglactam a
....aspersclerolide d
....asperteretone a
....asperteretone b
....asperteretone c
....asperteretone d
....asperteretone f
....bipolaride a
....bipolaride b
....bipolaride e
....blennolide g
....bornyl diphosphate
....bornyl diphosphate.3..
....bornyl ferulate
....botryodiplodin dimer
....brevianamide x
....brevicolide a
....brevicolide b
....calanolide b
....camphanic acid
....caprazamycin a
....caprazamycin c
....caprazamycin f
....cassaic acid
....ceriferol 1
....chizhine a
....chizhine b
....chizhine c
....chizhine d
....chizhine e
....chizhine f
....cis.chrysanthemic acid
....cis.clavicipitic acid
....cochlactone a
....cochlearoid n
....cochlearoid o
....cochlearoid p
....cochlearoid q
....cochlearol a
....cochlearol b
....colletotryptin e
....conduritol b
....corey lactone
....daeschol a
....dalmanol a
....dalmanol b
....dalmanol c
....dehydrodiconiferyl alcohol
....dihydroedulan ii
....dihydropertusaric acid
....discoipyrrole a
....duryne b
....duryne c
....duryne d
....duryne e
....duryne f
....epicatechin 6.c.glucoside
....epicatechin 7.o.glucuronide
....epicatechin 8.c.galactoside
....epicatechin 8.c.glucoside
....epicatechin sulfate
....epigallocatechin 3.apos..glucuronide
....epigallocatechin 3..3.methyl.gallate.
....epigallocatechin 3..4.methyl.gallate.
....epigallocatechin 3.cinnamate
....epigallocatechin 3.gallate
....epigallocatechin 3.glucuronide
....epigallocatechin 7.glucuronide
....epigallocatechin.3..3.o.methyl. gallate
....epitaxifolin 3.o.alpha.d.arabinopyranoside
....epoxyserinone a
....ethyl homononactate
....ethyl nonactate
....euphomine a
....euroticin a
....euroticin b
....eurotinoid a
....eurotinoid b
....eurotinoid c
....eurotiumide a
....eurotiumide b
....eurotiumide c
....eurotiumide d
....eurotiumide e
....eurotone a
....farnesiferol c
....fusicoplagin a
....gallocatechin gallate
....gambogic acid
....gancochlearol c
....ganoapplanatumine a
....ganotheaecoloid l
....ganotheaecolumol a
....ganotheaecolumol b
....ganotheaecolumol e
....ganotheaecolumol f
....ganotheaecolumol g
....ganotheaecolumol h
....germacrene a
....germacrene d
....glyceollin ii
....hexylitaconic acid
....homalomenol c
....homalomenol d
....homoisocitric acid
....homononactic acid
....hydroxysydonic acid
....indolactam i
....indolactam v
....isochaminic acid
....isoconiochaetone b
....isopenicilliode c
....jasplakinolide z4
....jolkinol b
....kanshone a
....kolavenyl diphosphate
....kolavenyl diphosphate.3..
....leptosphaerone a
....leptothalenone a
....linderol a
....madurastatin c1
....marinopyrrole a
....marinopyrrole b
....matairesinol 4.apos...apiosyl..1..gt.2..glucoside.
....menthyl acetate
....menthyl beta.d.glucoside
....methyl jasmonate
....methyl selina.3.11.dien.14.oate
....monascumic acid
....murayaquinone b
....myrtenyl isovalerate
....neopestalotin e
....neplanocin a
....nigrosporione a
....nigrosporione d
....nonactic acid
....noscapine hemiacetal
....notoamide f
....notoamide i
....notoamide r
....notoamide u
....oryzanaphthopyran a
