. z..6.benzylidene.3.hydroxymethyl.1.4.dimethyl.3.methylsulfanylpiperazine.2.5.dione
2...2s.3s.6s..3...anilino.oxo.methyl.amino..2..hydroxymethyl..3.6.dihydro.2h.pyran.6.yl.acetic acid
2...2s.4ar.12ar..5.methyl.6.oxo.8..phenylcarbamoylamino..2.3.4.4a.12.12a.hexahydropyrano.2.3.c..1.5.benzoxazocin.2.yl.acetic acid
2...2s.4ar.12ar..5.methyl.6.oxo.8...oxo..3..trifluoromethyl.phenyl.methyl.amino..2.3.4.4a.12.12a.hexahydropyrano.2.3.c..1.5.benzoxazocin.2.yl.acetic acid
2...2s.4ar.12ar..5.methyl.8...2.methylphenyl.sulfonylamino..6.oxo.2.3.4.4a.12.12a.hexahydropyrano.2.3.c..1.5.benzoxazocin.2.yl.acetic acid
2...2s.4ar.12ar..8....4.chlorophenyl..oxomethyl.amino..5.methyl.6.oxo.2.3.4.4a.12.12a.hexahydropyrano.2.3.c..1.5.benzoxazocin.2.yl.acetic acid
2...2s.4ar.12as..5.methyl.6.oxo.8...oxo..3..trifluoromethyl.phenyl.methyl.amino..2.3.4.4a.12.12a.hexahydropyrano.2.3.c..1.5.benzoxazocin.2.yl.acetic acid
2...2s.4ar.12as..5.methyl.8...2.methylphenyl.sulfonylamino..6.oxo.2.3.4.4a.12.12a.hexahydropyrano.2.3.c..1.5.benzoxazocin.2.yl.acetic acid
2...2s.4ar.12as..8....4.chlorophenyl..oxomethyl.amino..5.methyl.6.oxo.2.3.4.4a.12.12a.hexahydropyrano.2.3.c..1.5.benzoxazocin.2.yl.acetic acid
2...2s.4ar.12as..8...anilino.oxo.methyl.amino..5.methyl.6.oxo.2.3.4.4a.12.12a.hexahydropyrano.2.3.c..1.5.benzoxazocin.2.yl.acetic acid
2...2s.4ar.8as..2.hydroxy.4a.methyl.8.methylidene.3.4.5.6.7.8a.hexahydro.1h.naphthalen.2.yl.prop.2.enoic acid
2...2s.4as.12ar..5.methyl.6.oxo.8...oxo..3..trifluoromethyl.phenyl.methyl.amino..2.3.4.4a.12.12a.hexahydropyrano.2.3.c..1.5.benzoxazocin.2.yl.acetic acid
2...2s.4as.12ar..5.methyl.8...2.methylphenyl.sulfonylamino..6.oxo.2.3.4.4a.12.12a.hexahydropyrano.2.3.c..1.5.benzoxazocin.2.yl.acetic acid
2...2s.4as.12ar..8....4.chlorophenyl..oxomethyl.amino..5.methyl.6.oxo.2.3.4.4a.12.12a.hexahydropyrano.2.3.c..1.5.benzoxazocin.2.yl.acetic acid
2...2s.4as.12ar..8...anilino.oxo.methyl.amino..5.methyl.6.oxo.2.3.4.4a.12.12a.hexahydropyrano.2.3.c..1.5.benzoxazocin.2.yl.acetic acid
2...2s.4as.12as..5.methyl.6.oxo.8...oxo..3..trifluoromethyl.phenyl.methyl.amino..2.3.4.4a.12.12a.hexahydropyrano.2.3.c..1.5.benzoxazocin.2.yl.acetic acid
2...2s.4as.12as..5.methyl.8...2.methylphenyl.sulfonylamino..6.oxo.2.3.4.4a.12.12a.hexahydropyrano.2.3.c..1.5.benzoxazocin.2.yl.acetic acid
2...2s.4as.12as..8....4.chlorophenyl..oxomethyl.amino..5.methyl.6.oxo.2.3.4.4a.12.12a.hexahydropyrano.2.3.c..1.5.benzoxazocin.2.yl.acetic acid
2...2s.4as.12as..8...anilino.oxo.methyl.amino..5.methyl.6.oxo.2.3.4.4a.12.12a.hexahydropyrano.2.3.c..1.5.benzoxazocin.2.yl.acetic acid
2...2s.5r.6r..5...anilino.oxo.methyl.amino..6..hydroxymethyl..2.oxanyl.acetic acid
2...2s.5r.6r..6..hydroxymethyl..5...4.methylphenyl.sulfonylamino..2.oxanyl.acetic acid
2...2s.5r.6r..6..hydroxymethyl..5...oxo.pyridin.4.yl.methyl.amino..2.oxanyl.acetic acid
2...2s.5r.6s..5...anilino.oxo.methyl.amino..6..hydroxymethyl..2.oxanyl.acetic acid
2...2s.5r.6s..6..hydroxymethyl..5..pyridine.4.carbonylamino.oxan.2.yl.acetic acid
2...2s.5r.6s..6..hydroxymethyl..5...4.methylphenyl.sulfonylamino..2.oxanyl.acetic acid
2...2s.5s.6r..5...anilino.oxo.methyl.amino..6..hydroxymethyl..2.oxanyl.acetic acid
2...2s.5s.6s..5...anilino.oxo.methyl.amino..6..hydroxymethyl..2.oxanyl.acetic acid
2...2s.5s.6s..6..hydroxymethyl..5...4.methylphenyl.sulfonylamino..2.oxanyl.acetic acid
2...2s.5s.6s..6..hydroxymethyl..5...oxo.pyridin.4.yl.methyl.amino..2.oxanyl.acetic acid
2...3.4.dimethylphenyl.thio..3.pyridinecarboxylic acid
2...3.carboxy.1.oxopropyl.amino.benzoic acid
2...3.cyano.4.6.diphenyl.2.pyridinyl.thio..3.methylbutanoic acid
2...3.cyano.4.thiophen.2.yl.5.6.7.8.tetrahydroquinolin.2.yl.thio..2.phenylacetic acid
2...3.methyl.2.4.dioxo.5.thiazolidinyl.amino.benzoic acid
2...3.methyl.2.pentanyl.amino..6..methylsulfanyl.benzoic acid
2...3.methylbenzo.b.thiophen.2.yl.carbonyl.benzoic acid
2...3.nitro.2.pyridyl.thio.propanoic acid
2...3..4...6.carboxy.3.4.5.trihydroxyoxan.2.yl.oxy..3.methoxyphenyl.prop.2.enoyl.oxy..3.hydroxybutanedioic acid
2...3e..6.fluoro.2..hydroxymethyl..3...4.methylsulfinylphenyl.methylidene.inden.1.yl.acetic acid
2...3r.6ar.8r.10ar..3.hydroxy.1..4.phenoxyphenyl.sulfonyl.3.4.6.6a.8.9.10.10a.octahydro.2h.pyrano.2.3.c..1.5.oxazocin.8.yl.acetic acid
2...3r.6ar.8r.10ar..3.hydroxy.1..oxo.propylamino.methyl..3.4.6.6a.8.9.10.10a.octahydro.2h.pyrano.2.3.c..1.5.oxazocin.8.yl.acetic acid
2...3r.6ar.8s.10ar..3.hydroxy.1..oxo.propylamino.methyl..3.4.6.6a.8.9.10.10a.octahydro.2h.pyrano.2.3.c..1.5.oxazocin.8.yl.acetic acid
2...3r.6as.8r.10as..3.hydroxy.1..4.phenoxyphenyl.sulfonyl.3.4.6.6a.8.9.10.10a.octahydro.2h.pyrano.2.3.c..1.5.oxazocin.8.yl.acetic acid
2...3r.6as.8s.10as..3.hydroxy.1..4.phenoxyphenyl.sulfonyl.3.4.6.6a.8.9.10.10a.octahydro.2h.pyrano.2.3.c..1.5.oxazocin.8.yl.acetic acid
2...3s..3.amino.3.carboxypropyl..l.histidine dizwitterion
2...3s..3.carboxylato.3..dimethylammonio.propyl..l.histidine residue
2...3s..3.carboxylato.3..methylammonio.propyl..l.histidine residue
2...3s.3ar.5r.7as..3a.acetyl.3.hydroxy.7a.methyl.2.3.4.5.6.7.hexahydro.1h.inden.5.yl.prop.2.enoic acid
2...3s.4ar.7s.8s.8ar..3.4.apos..dihydroxy.4.4.7.8a.tetramethyl.6.apos..oxospiro.2.3.4a.5.6.7.hexahydro.1h.naphthalene.8.2.apos..3.8.dihydrouro.2.3.e.isoindole..7.apos..yl..3.phenylpropanoic acid
2...3s.4ar.7s.8s.8ar..3.4.apos..dihydroxy.4.4.7.8a.tetramethyl.6.apos..oxospiro.2.3.4a.5.6.7.hexahydro.1h.naphthalene.8.2.apos..3.8.dihydrouro.2.3.e.isoindole..7.apos..yl..4.methylpentanoic acid
2...3s.6ar.8r.10ar..3.hydroxy.1..4.phenoxyphenyl.sulfonyl.3.4.6.6a.8.9.10.10a.octahydro.2h.pyrano.2.3.c..1.5.oxazocin.8.yl.acetic acid
2...3s.6ar.8s.10ar..3.hydroxy.1..4.phenoxyphenyl.sulfonyl.3.4.6.6a.8.9.10.10a.octahydro.2h.pyrano.2.3.c..1.5.oxazocin.8.yl.acetic acid
2...3s.6as.8r.10as..3.hydroxy.1..propylcarbamoyl..3.4.6.6a.8.9.10.10a.octahydro.2h.pyrano.2.3.c..1.5.oxazocin.8.yl.acetic acid
2...3s.6as.8s.10as..3.hydroxy.1..oxo.propylamino.methyl..3.4.6.6a.8.9.10.10a.octahydro.2h.pyrano.2.3.c..1.5.oxazocin.8.yl.acetic acid
2...3s.6r.9s.12s.15r.18s.21s.25r..21..3.methoxy.3.oxopropyl..6.15.18.tris.2.methylpropyl..25..9.methylundecyl..2.5.8.11.14.17.20.23.octaoxo.3.12.di.propan.2.yl..1.oxa.4.7.10.13.16.19.22.heptazacyclopentacos.9.yl.acetic acid
2...3s.8r.9s.10r.13s.14s..10.13.dimethyl.17.pyridin.3.yl.2.3.4.7.8.9.11.12.14.15.decahydro.1h.cyclopenta.a.phenanthren.3.yl.acetic acid
2...4.6.dimethyl.2.pyrimidinyl.oxy..3.methoxy.3.3.diphenylpropanoic acid
2...4.amino.3.5.dichloro.6.fluoropyridin.2.yl.oxy.propanoic acid
2...4.amino.7.tert.butyl.5.6.7.8.tetrahydro..1.benzothiolo.2.3.d.pyrimidin.2.yl.thio.acetic acid
2...4.aminobenzoyl.amino.pentanedioic acid
2...4.chlorophenyl.methyl..3..4.methoxyphenyl..1.oxo.3.4.dihydroisoquinoline.4.carboxylic acid
2...4.chlorophenyl.sulfonyl..2.pyridinyl.amino.acetic acid
2...4.chlorophenyl.thio.acetic acid
2...4.cyano.1.oxo.5h.pyrido.1.2.a.benzimidazol.3.yl.methylthio.propanoic acid
2...4.fluoro.3.methylphenyl.sulfonylamino.acetic acid
2...4.methoxyphenyl.formamido.acetic acid
2...4.methoxyphenyl.sulfonyl.methylamino.acetic acid
2...4.methyl.2.quinolinyl.hydrazinylidene.pentanedioic acid
2...4.methylphenyl.sulfonylamino.pentanoic acid
2...4.methylphenyl.thio.nicotinic acid
2...4.oxo.2.phenyl.1.benzopyran.3.yl.oxy.acetic acid
2...4.phenylphenyl.sulfonylamino.pentanedioic acid
2...4s.5s.5as.9as..4.methoxy.6.6.9a.trimethyl.5...2e.4e.6e..octa.2.4.6.trienoyl.oxy.1.oxo.4.5.5a.7.8.9.hexahydro.3h.benzo.e.isoindol.2.yl.pentanedioic acid
2...5.7.dimethyl.2.imidazo.1.2.a.pyrimidinyl.methylthio.acetic acid
2...5.anilino.4.phenyl.4h.1.2.4.triazol.3.yl.thio.acetic acid
2...5.ethyl.2.thiophenyl..oxomethyl.benzoic acid
2...5.formyl.2.methoxyphenyl.methylthio..3.pyridinecarboxylic acid
2...5.tert.butyl.2.methylphenyl.sulfonylamino.benzoic acid
2...5z.13e.15s..11alpha.15.dihydroxy.9.oxoprosta.5.13.dien.1.oyl..sn.glycero.3.phosphoethanolamine zwitterion
2...6.bromo.4.quinazolinyl.amino..4..methylthio.butanoic acid
2...6.butoxy.3.pyridinyl.amino..4.chlorobenzoic acid
2...6.carboxy.3.4.5.trihydroxyoxan.2.yl.oxy..3.hydroxybutanedioic acid
2...6.chloro.2.phenyl.1.benzimidazolyl.oxy.acetic acid
2...6.chloro.4.ethyl.2.oxo.1.benzopyran.7.yl.oxy.propanoic acid
2...6.methyl.5.oxo.2h.1.2.4.triazin.3.yl.hydrazinylidene.propanoic acid
2...7.hydroxy.4.methyl.2.oxo.1.benzopyran.8.yl.methylamino..4.methylpentanoic acid
2...7...4.5.dihydroxy.6..hydroxymethyl..3...3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.oxan.2.yl.oxy..5.hydroxy.2..4.hydroxyphenyl..4.oxo.4h.chromen.3.yl.oxy..4.5.dihydroxy.6..hydroxymethyl.oxan.3.yl .2e..3..4.hydroxy.3.5.dimethoxyphenyl.prop.2.enoate
2...8.methyl.2.oxo.4.phenyl.1.benzopyran.7.yl.oxy.acetic acid
2...9s.11r..epidioxy..15s..hydroperoxy..5z.13e..prostadienoyl..sn.glycero.3. phosphocholine
2...9s.11r..epidioxy..15s..hydroperoxy..5z.13e..prostadienoyl..sn.glycero.3.phosphoethanolamine zwitterion
2...9s.11r..epidioxy..15s..hydroxy..5z.13e..prostadienoyl..sn.glycero.3. phosphocholine
2...9s.11r..epidioxy..15s..hydroxy..5z.13e..prostadienoyl..sn.glycero.3.phosphoethanolamine zwitterion
2...benzoylamino.methyl..3.4.6.trichlorophenyl 4.nitrobenzoate
2...carboxymethyl..methyl.amino..5.methoxybenzoic acid
2...e...acetamidoimino.methyl.pentanedioic acid
2...e...2..2.amino.2..4.hydroxyphenyl.acetamido..2.carboxyethylidene.amino..3.methyl.3.sulfanylbutanoic acid
2...sulfooxy.methyl.butanoic acid
2...tert.butoxycarbonyl.amino..3..1h.imidazol.4.yl.propanoic acid
2....3..3.4.dihydroxy.5..3.4.5.trihydroxybenzoyloxy.benzoyloxy..2.4.5.trihydroxyphenyl..hydroxy.methylidene.amino.acetic acid
2....3..3.4.dihydroxy.5..3.4.5.trihydroxybenzoyloxy.benzoyloxy..4.5.dihydroxyphenyl..hydroxy.methylidene.amino.acetic acid
2..1..4.nitrobenzoyl.pyrrolidine.2.amido.benzoic acid
2..1..2.oxo.2...4.thiophen.2.ylphenyl.methylamino.ethyl.cyclohexyl.acetic acid
2..1.....1r..1..3..2..7.chloro.2.quinolinyl.ethenyl.phenyl..3..2..2.hydroxypropan.2.yl.phenyl.propyl.thio.methyl.cyclopropyl.acetic acid
2..1....1..3..2..7.chloro.2.quinolinyl.ethenyl.phenyl..3..2..2.hydroxypropan.2.yl.phenyl.propyl.thio.methyl.cyclopropyl.acetic acid
2..1.oxo.2.cyclopenten.2.ylmethyl..butanoic acid
2..11..3..dimethylamino.propylidene..6h.benzo.c..1.benzoxepin.2.yl.acetic acid
2..2.4.6.trihydroxy.3..3.methylbut.2.en.1.yl.phenyl.acetic acid
2..2.4.dihydroxy.3..3.methylbut.2.en.1.yl.phenyl..2.hydroxyacetic acid
2..2.4.dioxo.3..phenylmethyl..5.thiazolidinyl.acetic acid
2..2.6.dichloro.4...6.ethoxycarbonyl.5..3.methoxyphenyl..7.methyl.3.oxo.5h.thiazolo.3.2.a.pyrimidin.2.ylidene.methyl.phenoxy.acetic acid
2..2..1.pyridin.4.ylethylidene.hydrazinyl.benzoic acid
2..2..1.thiophen.2.ylethylidene.hydrazinyl.benzoic acid
2..2..19.acetamido.16.18.dihydroxy.5.9.dimethyl.6.oxoicosan.7.yl.oxy.2.oxoethyl.butanedioic acid
2..2..2.3.dimethoxyphenyl..4.thiazolyl.acetic acid
2..2..2.6.dimethylmorpholino..2.oxoethoxy.phenyl n.n.dimethylcarbamate
2..2..3.3.dimethyloxiran.2.yl.ethyl..8.hydroxy.2.methyl.2h.chromene.5.carboxylic acid
2..2..3.methoxy.4.oxo.1.cyclohexa.2.5.dienylidene.hydrazinyl.benzoic acid
2..2..4.fluoroanilino..4.thiophen.2.yl.5.thiazolyl.acetic acid
2..2..aminomethyl.cyclohexyl.acetic acid
2..2..methylsulfamoyl..5..trifluoromethyl.phenyl.sulfinylbenzoic acid
2..2..pyridine.4.carbonyl.hydrazinyl.pentanedioic acid
2..2..pyridine.4.carbonyl.hydrazinyl.propanoic acid
2..2...19.amino.6...3.4.dicarboxybutanoyl.oxy..11.16.18.trihydroxy.5.9.dimethylicosan.7.yl.oxy..2.oxoethyl.butanedioic acid
2..2...19.amino.6...3.4.dicarboxybutanoyl.oxy..18.hydroxy.5.9.dimethylicosan.7.yl.oxy..2.oxoethyl.butanedioic acid
2..2...2.carboxyacetyl.amino.propanoylamino.benzoic acid
2..2...4.amino.1.carboxy.4.oxobutyl.amino.propanoylamino.benzoic acid
2..2...z..pent.2.enyl..3..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxycyclopentyl.acetic acid
2..2..1..4.methoxyphenyl.ethylidene.hydrazinyl..4.oxo.5.6.dihydro.1.3.thiazine.6.carboxylic acid
2..2..19.acetamido.6..3.4.dicarboxybutanoyloxy..11.16.17.18.tetrahydroxy.5.9.dimethylnonadecan.7.yl.oxy.2.oxoethyl.butanedioic acid
2..2..19.acetamido.6..3.4.dicarboxybutanoyloxy..11.16.18.trihydroxy.5.9.dimethylnonadecan.7.yl.oxy.2.oxoethyl.butanedioic acid
2..2..19.acetamido.6..3.4.dicarboxybutanoyloxy..11.17.18.trihydroxy.5.9.dimethylnonadecan.7.yl.oxy.2.oxoethyl.butanedioic acid
2..2..19.amino.6..3.4.dicarboxybutanoyloxy..11.17.18.trihydroxy.5.9.dimethylnonadecan.7.yl.oxy.2.oxoethyl.butanedioic acid
2..2..2...1.3.dimethyl.2.oxo.5.benzimidazolyl.methylidene.hydrazinyl..4.oxo.5.thiazolyl.acetic acid
2..2..2...2...2...2...2..2...5..diaminomethylideneamino..2...2.methyl.2...3.methyl.2..2...2.methyl.2..2...2.methyl.2...2.methyl.2...2.methyl.2...1..2.methyl.3.oxotetradecanoyl.pyrrolidine.2.carbonyl.amino.propanoyl.amino.propanoyl.amino.propanoyl.amino.propanoylamino.propanoyl.amino.propanoylamino.butanoyl.amino.propanoyl.amino.pentanoyl.amino.propanoylamino..2.methylpropanoyl.amino.acetyl.amino..2.methylpropanoyl.amino..2.methylpropanoyl.amino.propanoylamino.propanoylamino..2.methylpropanoic acid
2..2..2...3...2.chlorophenyl.methoxy..4.methoxyphenyl.methylidene.hydrazinyl..4.oxo.5.thiazolyl.acetic acid
2..2..2...4...3.chlorophenyl.methoxy..3.methoxyphenyl.methylidene.hydrazinyl..4.oxo.5.thiazolyl.acetic acid
2..2..2...5..4.chloro.3.nitrophenyl..2.furanyl.methylidene.hydrazinyl..4.oxo.5.thiazolyl.acetic acid
2..2..4...r...4.chlorophenyl..phenylmethyl..1.piperazinyl.ethoxy.acetic acid
2..2..5.amino.4..3.thiophenyl..1.pyrazolyl..4.phenyl.5.thiazolyl.acetic acid
2..2...2...2...2...2..2...5..diaminomethylideneamino..2...2.methyl.2...3.methyl.2..2...2.methyl.2..2...2.methyl.2...2.methyl.2...2.methyl.2...1..2.methyl.3.oxotetradecanoyl.pyrrolidine.2.carbonyl.amino.propanoyl.amino.propanoyl.amino.propanoyl.amino.propanoylamino.propanoyl.amino.propanoylamino.butanoyl.amino.propanoyl.amino.pentanoyl.amino.propanoylamino..2.methylpropanoyl.amino.acetyl.amino..2.methylpropanoyl.amino..2.methylpropanoyl.amino.propanoylamino.propanoic acid
2..2...2.amino.4..s.methyl.n.phosphonosulonimidoyl.butanoyl.amino.propanoylamino.propanoic acid
2..2...3..1.3.benzoxazol.2.yl.anilino..oxomethyl.phenyl.benzoic acid
2..2...4.oxo.3...6.oxo.1.cyclohexa.2.4.dienylidene.methylamino..2.sulfanylidene.5.thiazolidinylidene.methyl.phenoxy.acetic acid
2..2....4..2.chlorophenyl..2.thiazolyl.amino..oxomethyl..1.indolyl.acetic acid
2..2..bis.4.methoxyphenyl.methylidene.hydrazinyl.benzoic acid
2..2.bromo.4..hydroxymethyl..6.methoxyphenoxy.acetic acid
2..2.chloro.4...5..2.chlorophenyl..6.ethoxycarbonyl.7.methyl.3.oxo.5h.thiazolo.3.2.a.pyrimidin.2.ylidene.methyl..6.methoxyphenoxy.acetic acid
2..2.formyl.5..methoxymethyl..1h.pyrrol.1.yl.acetic acid
2..2.hydroxy.4.methoxy.3..sulfooxy.phenyl.propanoic acid
2..2.methoxy.4.6.bis.phenylmethoxy.phenyl.acetic acid
2..2.methoxy.4..2..8.nitro.2.quinolinyl.ethenyl.phenoxy.acetic acid
2..2.oxo.2..2.pyridylamino.ethoxy.acetic acid
2..2.oxo.2..pyridin.3.ylamino.ethoxy.acetic acid
2..2.pent.2.enyl.3..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxycyclopentyl.acetic acid
2..3..2.quinolinylmethoxy.anilino.benzoic acid
2..3..4.hydroxy.3.5.dimethoxyphenyl.prop.2.enoyloxy.butanedioic acid
2..3..sulfooxy.phenyl.acetic acid
2..3...1.ethoxy.1.oxo.4.phenylbutan.2.yl.amino..2.oxo.4.5.dihydro.3h.1.benzazepin.1.yl.acetic acid
2..3...1.oxo.2.thiazolo.3.2.a.benzimidazolylidene.methyl..1.indolyl.acetic acid
2..3...4.bromo.2.fluorophenyl.methyl..4.oxo.1.phthalazinyl.acetic acid
2..3...4.ethoxycarbonylphenyl.hydrazinylidene..6.oxo.1.cyclohexa.1.4.dienyl.acetic acid
2..3...e..6.acetyloxy.2.hydroxy.6.methyl.3.oxohept.4.en.2.yl..6..carboxymethyl..2.hydroxy.3a.5a.9b.trimethyl.5.oxo.2.3.4.6.9.9a.hexahydro.1h.cyclopenta.a.naphthalen.7.yl..2.methylpropanoic acid
2..3..1...2..3.4.dichlorophenyl..1.oxoethyl..methylamino..2..1.pyrrolidinyl.ethyl.phenoxy.acetic acid
2..3..3..4.morpholinyl.propyl..4.oxo.1.2.dihydroquinazolin.2.yl.benzoic acid
2..3...6..anilino.oxo.methyl..5..4.ethoxyphenyl..7.methyl.3.oxo.5h.thiazolo.3.2.a.pyrimidin.2.ylidene.methyl.phenoxy.acetic acid
2..3.carboxylato.3..dimethylammonio.propyl..l.histidine dizwitterion
2..3.carboxylato.3..dimethylammonio.propyl..l.histidine residue
2..3.carboxylato.3..methylammonio.propyl..l.histidine dizwitterion
2..3.carboxylato.3..methylammonio.propyl..l.histidine residue
2..3.carboxylato.3..trimethylammonio.propyl..l.histidine residue
2..3.hydroxy.5..hydroxymethyl..2.methyl.4.pyridinyl..4.thiazolidinecarboxylic acid
2..3.methyl.2..methylimino..4.oxo.1.3.thiazolan.5.yl.acetic acid
2..4.6.dihydroxy.2.methoxy.3..3.methylbut.2.en.1.yl.phenyl..2..sulfooxy.acetic acid
2..4.6.dihydroxy.2.methoxy.3..3.methylbut.2.en.1.yl.phenyl.acetic acid
2..4.7.10.tris.carboxymethyl..6..4..3..2.5.dioxopyrrol.1.yl.propanoylamino.butyl..1.4.7.10.tetrazacyclododec.1.yl.acetic acid
2..4..1.3.benzothiazol.2.yl..2.bromo.6.methoxyphenoxy.acetic acid
2..4..1.adamantyl..n.methylsulfonylanilino.acetic acid
2..4..2.2.dimethyl.4.oxo.1.3.5.6.tetrahydrobenzo.a.phenanthridin.5.yl..2.methoxyphenoxy.acetic acid
2..4..2.4.dichlorophenoxy.phenoxy.propanoic acid
2..4..2.5.diphenyl.3.4.dihydropyrazol.3.yl..2.methoxyphenoxy.acetic acid
2..4..2.aminoethyl..2.hydroxyphenoxy.ethyl.trimethylammonium 2..5..2.aminoethyl..2.hydroxyphenoxy.ethyl.trimethylammonium
2..4..2.hydroxy.3.methylbut.3.enoxy.phenyl.acetic acid
2..4..2.hydroxyethyl.piperazin.1.yl.ethanesulfonic acid
2..4..3.6.7.trihydroxy.10.13.dimethyl.2.3.4.5.6.7.8.9.11.12.14.15.16.17.tetradecahydro.1h.cyclopenta.a.phenanthren.17.yl.pentanoylamino.ethanesulfonic acid
2..4..3.hydroxypropyl..2.methoxyphenoxy..1.3.propanediol 1.glucoside
2..4..3.hydroxypropyl..2.methoxyphenoxy..1.3.propanediol 1.xyloside
2..4..4.chlorophenyl..2.phenyl.5.thiazolyl.acetic acid
2..4..cyclohexylsulfamoyl..2.methylphenoxy.acetic acid
2..4..dimethylamino.styryl..1.methylpyridinium iodide
2..4..sulfooxy.phenyl.acetic acid
2..4..sulfooxy.phenyl.propanoic acid
2..4..trifluoromethoxy.phenyl.acetic acid
2..4....s..1....s..2....rs..3.3.3.trifluoro.1.isopropyl.2.oxopropyl.aminocarbonyl.pyrrolidin.1.yl.carbonyl..2.methylpropyl.aminocarbonyl.benzoylamino.acetic acid
2..4...2...2s.5r..2..aminomethyl..5.ethynylpyrrolidin.1.yl..2.oxoethyl.amino..4.methylpiperidin.1.yl.isonicotinic acid
2..4...2r..2....2r..2..3.chlorophenyl..2.hydroxyethyl.amino.propyl.phenoxy.acetic acid
2..4...3.chloro.4.methoxyanilino..oxomethyl.phenoxy.propanoic acid
2..4...3r.7r.12s..3.7.12.trihydroxy.10.13.dimethyl.2.3.4.5.6.7.8.9.11.12.14.15.16.17.tetradecahydro.1h.cyclopenta.a.phenanthren.17.yl.pentanoylamino.ethanesulfonic acid
2..4...4.fluorophenyl.sulfonyl.methylamino.phenoxy.acetic acid
2..4..2....2r..2.hydroxy.2.phenylethyl.amino.ethoxy.phenyl.acetic acid
2..4..2....2r..2.hydroxy.3.phenoxypropyl.amino.ethoxy.phenoxy.acetic acid
2..4..3..4.acetyl.3.hydroxy.2.propylphenoxy.propoxy.phenoxy.acetic acid
2..4..3..2...4.methoxycarbonylphenyl.methoxy.phenyl..1.oxoprop.2.enyl.phenoxy.acetic acid
2..4..3..3.hydroxy.4..2.oxoethyl..2.propylphenoxy.propoxy.phenoxy.acetic acid
2..4..4..4.carbamimidoylphenyl..1.piperazinyl..1.piperidinyl.acetic acid
2..4...1..3.ethoxycarbonylphenyl.pyrrol.2.yl.methylidene..2.5.dioxoimidazolidin.1.yl.acetic acid
2..4...3..2..1h.indol.3.yl.ethyl..2..4.methoxyphenyl.imino.4.oxo.5.thiazolidinylidene.methyl.phenoxy.acetic acid
2..4...5..4.chlorophenyl..6.ethoxycarbonyl.7.methyl.3.oxo.5h.thiazolo.3.2.a.pyrimidin.2.ylidene.methyl.phenoxy.acetic acid
2..4...5..4.chlorophenyl..7.methyl.3.oxo.6..oxo.propan.2.yloxy.methyl..5h.thiazolo.3.2.a.pyrimidin.2.ylidene.methyl.phenoxy.acetic acid
2..4...6.ethoxycarbonyl.7.methyl.5..4..methylthio.phenyl..3.oxo.5h.thiazolo.3.2.a.pyrimidin.2.ylidene.methyl.phenoxy.acetic acid
2..4.hydroxy.3..octadecanoyloxy.oxolan.2.yl..2..octadecanoyloxy.ethyl octadecanoate
2..4.hydroxy.3..sulfooxy.phenyl.acetic acid
2..4.methyl.5.oxo.4..propan.2.yl..4.5.dihydro.1h.imidazol.2.yl.quinoline.3.carboxylic acid
2..4.oxo.2..2..2.pyridinylmethylidene.hydrazinyl..5.thiazolyl.acetic acid
2..4.oxo.5...1.phenyl.3..4.phenylmethoxyphenyl..4.pyrazolyl.methylidene..2.sulfanylidene.3.thiazolidinyl.ethanesulfonic acid
2..4.oxo.5...1.phenyl.3..4..1.piperidinylsulfonyl.phenyl..4.pyrazolyl.methylidene..2.sulfanylidene.3.thiazolidinyl.ethanesulfonic acid
2..4a.formyl.5..hydroxymethyl..1.2.dimethyl.2.3.4.7.8.8a.hexahydronaphthalen.1.yl.acetic acid
2..4a.methyl.8.methylidene.4..3.methylpentanoyloxy..1.2.3.4.5.6.7.8a.octahydronaphthalen.2.yl.prop.2.enoic acid
2..5..1.methyl.2.oxo.3.indolylidene..4.oxo.2.sulfanylidene.3.thiazolidinyl.pentanedioic acid
2..5..2.fluorophenyl..1.2.4.oxadiazol.3.yl.benzoic acid
2..5..2.hydroxypropyl.oxolan.2.yl.propanoic acid
2..5..4.fluorophenoxy..4.apos...trifluoromethyl.biphenyl.3.yl.pentanoic acid
2..5..anilinomethylidene..4.oxo.2.sulfanylidene.3.thiazolidinyl.acetic acid
2..5...1.methyl.2.pyrrolyl.methylidene..4.oxo.2.sulfanylidene.3.thiazolidinyl.propanoic acid
2..5...2.3.dimethoxyphenyl.methylidene..4.oxo.2.sulfanylidene.3.thiazolidinyl..2.phenylacetic acid
2..5...3.bromo.8.oxo.7.thiazolo.4.5.imidazo.1.2.b.pyridinylidene.methyl..2.furanyl.benzoic acid
2..5...4.bromophenyl.methylidene..4.oxo.2.sulfanylidene.3.thiazolidinyl..3.methylbutanoic acid
2..5...4.hydroxy.3.methoxyphenyl.methylidene..4.oxo.2.sulfanylidene.3.thiazolidinyl..2.phenylacetic acid
2..5...4.hydroxy.3.methoxyphenyl.methylidene..4.oxo.2.sulfanylidene.3.thiazolidinyl..3.phenylpropanoic acid
2..5...5.7.dimethyl.1.oxo.2.thiazolo.3.2.a.benzimidazolylidene.methyl..2.furanyl.benzoic acid
